provincia,densidad_2010,densidad_2022,poblacion_2010,poblacion_2022,salud_17_2022,salud_64_2022,salud_65_2022,Provincia
CABA,14450.8,15161.3,2890151,3121707,80.1,81.1,96.8,
Neuquen,5.9,7.5,551266,710814,66.4,65.7,93.7,
San Luis,5.6,7.2,432310,542069,59.2,59.1,96.1,
Santa Fe,24.0,26.6,3194537,3544908,60.9,67.0,97.2,
La Rioja,3.7,4.2,333642,383865,52.7,55.8,94.7,
Catamarca,3.6,4.2,367828,429562,54.9,55.5,95.3,
Tucuman,64.3,76.7,1448188,1731820,59.7,63.1,95.5,
Chaco,10.6,11.3,1055259,1129606,38.1,46.0,92.5,
Formosa,7.4,8.0,530162,607419,34.4,42.3,88.1,
Santa Cruz,1.1,1.4,273964,337226,86.4,79.8,97.2,
Chubut,2.3,2.6,509108,592621,71.4,68.7,95.8,
Mendoza,11.7,13.7,1738929,2043540,54.4,58.7,95.9,
Entre Rios,15.7,18.2,1235994,1425578,57.6,61.0,96.6,
San Juan,7.6,9.3,681055,822853,48.5,51.7,94.8,
Jujuy,12.7,15.2,673307,811611,50.8,49.1,91.2,
Santiago del Estero,6.4,7.7,874006,1060906,33.5,41.8,93.7,
Rio Negro,3.1,3.7,638645,750768,62.6,61.3,95.4,
Corrientes,11.3,13.6,992595,1212696,51.8,52.1,94.1,
Misiones,37.0,42.8,1101593,1278873,46.0,51.9,92.6,
Salta,7.8,9.3,1214441,1441351,45.8,49.4,91.0,
Cordoba,20.0,23.3,3308876,3840905,58.1,62.8,96.7,
"Tierra del Fuego, Antartida e Islas del Atlantico Sur",0.1,0.2,127205,185732,89.4,81.4,96.9,Tierra del Fuego
Buenos Aires,50.8,57.3,15625084,17523996,57.7,61.9,95.8,
La Pampa,2.2,2.5,318951,361859,60.5,65.0,97.4,
